image_path,label
screenshots/screenshot_0.png,"mouse_move (640, 360)"
screenshots/screenshot_1.png,"scroll_wheel, mouse_move (636, 357)"
screenshots/screenshot_2.png,scroll_wheel
screenshots/screenshot_3.png,scroll_wheel
screenshots/screenshot_4.png,"mouse_move (683, 384)"
screenshots/screenshot_5.png,"mouse_move (640, 360)"
screenshots/screenshot_6.png,"scroll_wheel, mouse_move (640, 356)"
screenshots/screenshot_7.png,"scroll_wheel, mouse_move (599, 348)"
screenshots/screenshot_8.png,"scroll_wheel, mouse_move (472, 438)"
screenshots/screenshot_9.png,"scroll_wheel, mouse_move (127, 522)"
screenshots/screenshot_10.png,"scroll_wheel, mouse_move (640, 360)"
screenshots/screenshot_11.png,"scroll_wheel, mouse_move (629, 358)"
screenshots/screenshot_12.png,scroll_wheel
screenshots/screenshot_13.png,"mouse_move (640, 360)"
screenshots/screenshot_14.png,"scroll_wheel, mouse_move (1229, 351)"
screenshots/screenshot_15.png,"scroll_wheel, mouse_move (113, 349)"
screenshots/screenshot_16.png,"scroll_wheel, mouse_move (7, 273)"
screenshots/screenshot_17.png,"mouse_move (640, 360)"
screenshots/screenshot_18.png,"move_backward, scroll_wheel"
screenshots/screenshot_19.png,"move_left, move_backward, scroll_wheel, mouse_move (656, 357)"
screenshots/screenshot_20.png,"move_left, move_backward, scroll_wheel, mouse_move (659, 356)"
screenshots/screenshot_21.png,"move_left, move_backward, scroll_wheel, mouse_move (676, 362)"
screenshots/screenshot_22.png,"move_left, move_backward, scroll_wheel, mouse_move (643, 360)"
screenshots/screenshot_23.png,"move_left, scroll_wheel, mouse_move (640, 360)"
screenshots/screenshot_24.png,"move_forward, scroll_wheel"
screenshots/screenshot_25.png,"move_left, scroll_wheel, mouse_move (649, 357)"
screenshots/screenshot_26.png,"move_left, move_backward, scroll_wheel, mouse_move (640, 360)"
screenshots/screenshot_27.png,"move_forward, move_left, scroll_wheel"
screenshots/screenshot_28.png,"move_forward, move_left, scroll_wheel, mouse_move (642, 361)"
screenshots/screenshot_29.png,"move_forward, scroll_wheel, mouse_move (640, 360)"
